,Visitor,PTS,Home,PTS.1,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
269,New York Knicks,106,Minnesota Timberwolves,104,1.0,0.0,,,,,,
270,Washington Wizards,115,Oklahoma City Thunder,126,0.0,1.0,,,,,,
271,Atlanta Hawks,107,Phoenix Suns,109,0.0,1.0,,,,,,
272,Indiana Pacers,109,Portland Trail Blazers,131,0.0,1.0,,,,,,
273,Memphis Grizzlies,105,Toronto Raptors,120,0.0,1.0,,,,,,
274,Milwaukee Bucks,111,Brooklyn Nets,93,1.0,0.0,,,,,,
275,Dallas Mavericks,87,Charlotte Hornets,97,0.0,1.0,,,,,,
276,Los Angeles Clippers,113,Cleveland Cavaliers,94,1.0,0.0,,,,,,
277,Houston Rockets,132,Golden State Warriors,127,1.0,0.0,,,,,,
278,Orlando Magic,94,Memphis Grizzlies,95,0.0,1.0,,,,,,
279,Miami Heat,111,Utah Jazz,110,1.0,0.0,,,,,,
280,Detroit Pistons,121,Atlanta Hawks,85,1.0,0.0,,,,,,
281,Sacramento Kings,92,Boston Celtics,97,0.0,1.0,,,,,,
282,Cleveland Cavaliers,105,Chicago Bulls,111,0.0,1.0,,,,,,
283,Houston Rockets,128,Denver Nuggets,110,1.0,0.0,,,,,,
284,Los Angeles Clippers,114,New Orleans Pelicans,96,1.0,0.0,,,,,,
285,Minnesota Timberwolves,114,New York Knicks,118,0.0,1.0,,,,,,
286,Orlando Magic,105,Philadelphia 76ers,88,1.0,0.0,,,,,,
287,Washington Wizards,105,San Antonio Spurs,107,0.0,1.0,,,,,,
288,Los Angeles Lakers,80,Toronto Raptors,113,0.0,1.0,,,,,,
289,Minnesota Timberwolves,125,Charlotte Hornets,120,1.0,0.0,,,,,,
290,Chicago Bulls,82,Dallas Mavericks,107,0.0,1.0,,,,,,
291,Phoenix Suns,109,Golden State Warriors,138,0.0,1.0,,,,,,
292,Los Angeles Lakers,100,Memphis Grizzlies,103,0.0,1.0,,,,,,
293,Brooklyn Nets,103,Milwaukee Bucks,112,0.0,1.0,,,,,,
294,Boston Celtics,107,Philadelphia 76ers,106,1.0,0.0,,,,,,
295,Miami Heat,92,Portland Trail Blazers,99,0.0,1.0,,,,,,
296,Atlanta Hawks,84,Toronto Raptors,128,0.0,1.0,,,,,,
297,Denver Nuggets,98,Utah Jazz,105,0.0,1.0,,,,,,
298,Orlando Magic,98,Detroit Pistons,92,1.0,0.0,,,,,,
299,Indiana Pacers,111,Los Angeles Clippers,102,1.0,0.0,,,,,,
300,Sacramento Kings,98,New York Knicks,106,0.0,1.0,,,,,,
301,New Orleans Pelicans,92,Oklahoma City Thunder,101,0.0,1.0,,,,,,
302,Oklahoma City Thunder,102,Atlanta Hawks,99,1.0,0.0,,,,,,
303,Washington Wizards,118,Brooklyn Nets,113,1.0,0.0,,,,,,
304,Portland Trail Blazers,112,Chicago Bulls,110,1.0,0.0,,,,,,
305,Charlotte Hornets,109,Dallas Mavericks,101,1.0,0.0,,,,,,
306,Indiana Pacers,106,Golden State Warriors,142,0.0,1.0,,,,,,
307,Boston Celtics,106,Houston Rockets,107,0.0,1.0,,,,,,
308,Utah Jazz,107,Los Angeles Lakers,101,1.0,0.0,,,,,,
309,San Antonio Spurs,97,Milwaukee Bucks,96,1.0,0.0,,,,,,
310,Memphis Grizzlies,110,New Orleans Pelicans,108,1.0,0.0,,,,,,
